disease_name,disease_name_clean,host,host_tax_id,host_class,host_order,host_family,pathogen_count_in_disease_host_network,pathogen_examples,detection_method_examples,main_source_examples,vector_species,vector_group,best_evidence_level,best_evidence_basis,record_sources,supporting_row_count,disease_vector_taxon_rank,disease_vector_review_needed,host_vector_species,vector_taxon_rank,vector_species_needs_review,vector_host_record_count,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,vector_join_key,link_type,vector_join_match_type,taxonomy_caution,output_level,pathogen,pathogen_tax_id,pathogen_type,pathogen_family,pathogen_genus,pheic_risk,detection_method,main_source,evidence_strength,vector_evidence_basis,vector_record_sources,vector_supporting_row_count,assignment_basis
Plague,plague,Onychomys leucogaster,38668,mammalia,rodentia,cricetidae,1,yersinia pestis,Isolation/Observation,CLOVER,thrassis bacchi,flea,confirmed,review,lit_review,1,species,FALSE,Thrassis bacchi,mixed,TRUE,10,Thrassis bacchi; Thrassis bacchi bacchi; Thrassis bacchi gladiolis,VectorMap,FleaMap,on_host_occurrence,United States,,thrassis bacchi,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Plague,plague,Rattus rattus,10117,mammalia,rodentia,muridae,1,yersinia pestis,Isolation/Observation; Not specified; PCR/Sequencing,CLOVER,ctenocephalides felis,flea,confirmed,review,lit_review,2,species,FALSE,Ctenocephalides felis,mixed,FALSE,4,Ctenocephalides felis; Ctenocephalides felis felis,VectorMap,FleaMap,on_host_occurrence,Brazil; Guam; United States; Venezuela,,ctenocephalides felis,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Plague,plague,canis latrans,9614,,,,1,yersinia pestis,Antibodies; Not specified,CLOVER,oropsylla tuberculata,flea,confirmed,review,lit_review,1,species,FALSE,Oropsylla tuberculata,infraspecific,TRUE,1,Oropsylla tuberculata cynomuris,VectorMap,FleaMap,on_host_occurrence,United States,,oropsylla tuberculata,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Plague,plague,peromyscus maniculatus,10042,,,,1,yersinia pestis,Antibodies,CLOVER,thrassis bacchi,flea,confirmed,review,lit_review,1,species,FALSE,Thrassis bacchi,infraspecific,FALSE,3,Thrassis bacchi bacchi,VectorMap,FleaMap,on_host_occurrence,United States,,thrassis bacchi,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Rift Valley fever,rift valley fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Phlebovirus riftense,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,mansonia uniformis,mosquito,probable,review,lit_review,3,infraspecific,FALSE,Mansonia uniformis,species,FALSE,12,Mansonia uniformis,VectorMap,BloodMealMap,blood_meal,Australia; Japan; Kenya,,mansonia uniformis,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Rift Valley fever,rift valley fever,Capra hircus,9925,mammalia,artiodactyla,bovidae,1,Phlebovirus riftense,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,mansonia uniformis,mosquito,probable,review,lit_review,3,infraspecific,FALSE,Mansonia uniformis,species,FALSE,1,Mansonia uniformis,VectorMap,BloodMealMap,blood_meal,Japan,,mansonia uniformis,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Rift Valley fever,rift valley fever,Homo sapiens,9606,,,,1,Phlebovirus riftense,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,mansonia uniformis,mosquito,probable,review,lit_review,3,infraspecific,FALSE,Mansonia uniformis,species,FALSE,10,Mansonia uniformis,VectorMap,BloodMealMap,blood_meal,Australia; Kenya; Nigeria; Tanzania; Uganda,,mansonia uniformis,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Rift Valley fever,rift valley fever,Ovis aries,9940,mammalia,artiodactyla,bovidae,1,Phlebovirus riftense,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,mansonia uniformis,mosquito,probable,review,lit_review,3,infraspecific,FALSE,Mansonia uniformis,species,FALSE,7,Mansonia uniformis,VectorMap,BloodMealMap,blood_meal,Kenya,,mansonia uniformis,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Zika virus disease,zika virus disease,Homo sapiens,9606,,,,2,Orthoflavivirus zikaense,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,culex pipiens molestus,mosquito,candidate,review,lit_review,1,infraspecific,FALSE,Culex pipiens molestus,infraspecific,TRUE,2,Culex pipiens molestus,MapVEu,MapVEu,blood_meal,Australia,vector_infraspecific,culex pipiens molestus,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Zika virus disease,zika virus disease,Homo sapiens,9606,,,,2,Orthoflavivirus zikaense,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,mansonia uniformis,mosquito,candidate,review,lit_review,3,infraspecific,FALSE,Mansonia uniformis,species,FALSE,10,Mansonia uniformis,VectorMap,BloodMealMap,blood_meal,Australia; Kenya; Nigeria; Tanzania; Uganda,,mansonia uniformis,disease_host_vector_derived,exact_normalized_vector_name,TRUE,disease,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Antidorcas marsupialis,59523,mammalia,artiodactyla,bovidae,,,,,Rhipicephalus evertsi,tick,,,,,,,Rhipicephalus evertsi,infraspecific,FALSE,1,Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,South Africa,,rhipicephalus evertsi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Antibodies,VIRION,candidate,review,lit_review,4,disease_level_inherited
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,,,,,Rhipicephalus evertsi,tick,,,,,,,Rhipicephalus evertsi,mixed,TRUE,141,Rhipicephalus evertsi; Rhipicephalus evertsi evertsi; Rhipicephalus evertsi mimeticus,VectorMap,TickMap,on_host_occurrence,"Angola; Burkina Faso; Burundi; Cameroon; Central African Republic; Chad; Congo, The Democratic Republic of The; Ghana; Kenya; Mali; Mozambique; Namibia; Nigeria; Rwanda; Senegal; South Africa; Sudan; Tanzania, United Republic of; Uganda; Zambia; Zimbabwe",,rhipicephalus evertsi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,candidate,review,lit_review,4,disease_level_inherited
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Canis lupus,9612,mammalia,carnivora,canidae,,,,,Rhipicephalus evertsi,tick,,,,,,,Rhipicephalus evertsi,infraspecific,FALSE,4,Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Mali; Sudan",,rhipicephalus evertsi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Antibodies,VIRION,candidate,review,lit_review,4,disease_level_inherited
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Capra hircus,9925,mammalia,artiodactyla,bovidae,,,,,Rhipicephalus evertsi,tick,,,,,,,Rhipicephalus evertsi,mixed,FALSE,31,Rhipicephalus evertsi; Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,"Djibouti; Mali; Senegal; South Africa; Sudan; Tanzania, United Republic of; Uganda; Zambia",,rhipicephalus evertsi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,candidate,review,lit_review,4,disease_level_inherited
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Equus asinus,9793,mammalia,perissodactyla,equidae,,,,,Rhipicephalus evertsi,tick,,,,,,,Rhipicephalus evertsi,infraspecific,FALSE,11,Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,Cameroon; Mali; Sudan; Uganda,,rhipicephalus evertsi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Antibodies,VIRION,candidate,review,lit_review,4,disease_level_inherited
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Equus caballus,9796,mammalia,perissodactyla,equidae,,,,,Rhipicephalus evertsi,tick,,,,,,,Rhipicephalus evertsi,mixed,TRUE,23,Rhipicephalus evertsi; Rhipicephalus evertsi evertsi; Rhipicephalus evertsi mimeticus,VectorMap,TickMap,on_host_occurrence,"Burkina Faso; Cameroon; Central African Republic; Chad; Congo, The Democratic Republic of The; Mali; Mozambique; Namibia; Niger; Nigeria; Senegal; South Africa; Sudan",,rhipicephalus evertsi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Antibodies,VIRION,candidate,review,lit_review,4,disease_level_inherited
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Ovis aries,9940,mammalia,artiodactyla,bovidae,,,,,Rhipicephalus evertsi,tick,,,,,,,Rhipicephalus evertsi,mixed,FALSE,28,Rhipicephalus evertsi; Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,"Burkina Faso; Congo, The Democratic Republic of The; Cote D'Ivoire; Kenya; Mozambique; Rwanda; Senegal; South Africa; Sudan; Tanzania, United Republic of; Zambia",,rhipicephalus evertsi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Antibodies; Not specified; PCR/Sequencing,VIRION,candidate,review,lit_review,4,disease_level_inherited
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Syncerus caffer,9970,mammalia,artiodactyla,bovidae,,,,,Rhipicephalus evertsi,tick,,,,,,,Rhipicephalus evertsi,infraspecific,TRUE,4,Rhipicephalus evertsi evertsi; Rhipicephalus evertsi mimeticus,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; South Africa; Zimbabwe",,rhipicephalus evertsi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Antibodies,VIRION,candidate,review,lit_review,4,disease_level_inherited
Plague,Plague,Canis lupus,9612,mammalia,carnivora,canidae,,,,,Ctenocephalides felis,flea,,,,,,,Ctenocephalides felis,mixed,FALSE,136,Ctenocephalides felis; Ctenocephalides felis felis,VectorMap,FleaMap,on_host_occurrence,"Bahamas; Brazil; Costa Rica; Dominican Republic; Egypt; Kenya; Liberia; Malaysia; Marshall Islands; Northern Mariana Islands; Paraguay; Philippines; Saint Helena; Tunisia; United States; Uruguay; Virgin Islands, U.S",,ctenocephalides felis,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Yersinia pestis,632,bacteria,yersiniaceae,yersinia,High,Not specified,CLOVER,confirmed,review,lit_review,2,disease_level_inherited
Plague,Plague,Cynomys ludovicianus,45480,mammalia,rodentia,sciuridae,,,,,Oropsylla tuberculata,flea,,,,,,,Oropsylla tuberculata,mixed,TRUE,112,Oropsylla tuberculata; Oropsylla tuberculata cynomuris,VectorMap,FleaMap,on_host_occurrence,United States,,oropsylla tuberculata,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Yersinia pestis,632,bacteria,yersiniaceae,yersinia,High,Isolation/Observation,CLOVER,confirmed,review,lit_review,1,disease_level_inherited
Plague,Plague,Onychomys leucogaster,38668,mammalia,rodentia,cricetidae,,,,,Thrassis bacchi,flea,,,,,,,Thrassis bacchi,mixed,TRUE,10,Thrassis bacchi; Thrassis bacchi bacchi; Thrassis bacchi gladiolis,VectorMap,FleaMap,on_host_occurrence,United States,,thrassis bacchi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Yersinia pestis,632,bacteria,yersiniaceae,yersinia,High,Isolation/Observation,CLOVER,confirmed,review,lit_review,1,disease_level_inherited
Plague,Plague,Rattus rattus,10117,mammalia,rodentia,muridae,,,,,Ctenocephalides felis,flea,,,,,,,Ctenocephalides felis,mixed,FALSE,4,Ctenocephalides felis; Ctenocephalides felis felis,VectorMap,FleaMap,on_host_occurrence,Brazil; Guam; United States; Venezuela,,ctenocephalides felis,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Yersinia pestis,632,bacteria,yersiniaceae,yersinia,High,Isolation/Observation; Not specified; PCR/Sequencing,CLOVER,confirmed,review,lit_review,2,disease_level_inherited
Plague,Plague,canis latrans,9614,,,,,,,,Oropsylla tuberculata,flea,,,,,,,Oropsylla tuberculata,infraspecific,TRUE,1,Oropsylla tuberculata cynomuris,VectorMap,FleaMap,on_host_occurrence,United States,,oropsylla tuberculata,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Yersinia pestis,632,bacteria,yersiniaceae,yersinia,High,Antibodies; Not specified,CLOVER,confirmed,review,lit_review,1,disease_level_inherited
Plague,Plague,peromyscus maniculatus,10042,,,,,,,,Thrassis bacchi,flea,,,,,,,Thrassis bacchi,infraspecific,FALSE,3,Thrassis bacchi bacchi,VectorMap,FleaMap,on_host_occurrence,United States,,thrassis bacchi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Yersinia pestis,632,bacteria,yersiniaceae,yersinia,High,Antibodies,CLOVER,confirmed,review,lit_review,1,disease_level_inherited
Zika virus disease,Zika virus disease,Homo sapiens,9606,,,,,,,,Culex pipiens molestus,mosquito,,,,,,,Culex pipiens molestus,infraspecific,TRUE,2,Culex pipiens molestus,MapVEu,MapVEu,blood_meal,Australia,vector_infraspecific,culex pipiens molestus,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthoflavivirus zikaense,3048459,virus,flaviviridae,orthoflavivirus,High,PCR/Sequencing,VIRION,candidate,review,lit_review,1,disease_level_inherited
Zika virus disease,Zika virus disease,Homo sapiens,9606,,,,,,,,Culex pipiens molestus,mosquito,,,,,,,Culex pipiens molestus,infraspecific,TRUE,2,Culex pipiens molestus,MapVEu,MapVEu,blood_meal,Australia,vector_infraspecific,culex pipiens molestus,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE,pathogen,Orthoflavivirus zikaense,64320,virus,flaviviridae,flavivirus,High,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,candidate,review,lit_review,1,disease_level_inherited
