row_type,family,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,source_disease_name,source_unit_scope,analysis_unit,analysis_unit_label,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes
source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H1N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H1N1),subtype_level,Alphainfluenzavirus influenzae (H1N1),Influenza A,subtype,drop_not_prioritized,influenza_drop_currently_human_to_human_or_not_prioritized,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Dropped from the active keep set following the decision to remove the other current influenza subtype rows and only keep H5N1 plus an added H7N9 unit.,Excluded from the active analysis-unit keep file under the current influenza decision rule.
source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H2N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H2N1),subtype_level,Alphainfluenzavirus influenzae (H2N1),Influenza A,subtype,drop_not_prioritized,influenza_drop_currently_human_to_human_or_not_prioritized,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Dropped from the active keep set following the decision to remove the other current influenza subtype rows and only keep H5N1 plus an added H7N9 unit.,Excluded from the active analysis-unit keep file under the current influenza decision rule.
source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H3N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H3N1),subtype_level,Alphainfluenzavirus influenzae (H3N1),Influenza A,subtype,drop_not_prioritized,influenza_drop_currently_human_to_human_or_not_prioritized,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Dropped from the active keep set following the decision to remove the other current influenza subtype rows and only keep H5N1 plus an added H7N9 unit.,Excluded from the active analysis-unit keep file under the current influenza decision rule.
source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H3N2),Influenza A,Alphainfluenzavirus influenzae,Influenza (H3N2),subtype_level,Alphainfluenzavirus influenzae (H3N2),Influenza A,subtype,drop_not_prioritized,influenza_drop_currently_human_to_human_or_not_prioritized,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Dropped from the active keep set following the decision to remove the other current influenza subtype rows and only keep H5N1 plus an added H7N9 unit.,Excluded from the active analysis-unit keep file under the current influenza decision rule.
source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H5N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H5N1 avian influenza),subtype_level,Alphainfluenzavirus influenzae (H5N1),Influenza A,subtype,keep,influenza_keep_h5n1_only,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,"Retained as the only active influenza analysis unit from the current WHO shortlist, following the decision to keep H5N1 but drop the other current influenza subtype rows.",Kept as the only influenza subtype from the current WHO shortlist in the active analysis-unit set.
source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H6N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H6N1),subtype_level,Alphainfluenzavirus influenzae (H6N1),Influenza A,subtype,drop_not_prioritized,influenza_drop_currently_human_to_human_or_not_prioritized,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Dropped from the active keep set following the decision to remove the other current influenza subtype rows and only keep H5N1 plus an added H7N9 unit.,Excluded from the active analysis-unit keep file under the current influenza decision rule.
source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H7N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H7N1),subtype_level,Alphainfluenzavirus influenzae (H7N1),Influenza A,subtype,drop_not_prioritized,influenza_drop_currently_human_to_human_or_not_prioritized,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Dropped from the active keep set following the decision to remove the other current influenza subtype rows and only keep H5N1 plus an added H7N9 unit.,Excluded from the active analysis-unit keep file under the current influenza decision rule.
manual_addition,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H7N9),Influenza A,Alphainfluenzavirus influenzae,Influenza (H7N9 avian influenza),subtype_level,Alphainfluenzavirus influenzae (H7N9),Influenza A (H7N9),subtype,keep,manual_addition_from_decision_framework,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Added as an active influenza analysis unit following the decision to keep H5N1 and add H7N9 while dropping the other current influenza subtype rows.,Manual addition requested in the decision framework even though H7N9 is not present as a source row in the current WHO zoonotic shortlist.
source_row,Arenaviridae,High,Mammarenavirus lassaense,Lassa Fever virus,Mammarenavirus lassaense,Lassa fever,specific_unit,Mammarenavirus lassaense,Lassa Fever virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Arenaviridae,High,Mammarenavirus lujoense,Lujo virus,Mammarenavirus lujoense,Lujo hemorrhagic fever,specific_unit,Mammarenavirus lujoense,Lujo virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Filoviridae,High,Orthomarburgvirus marburgense,Marburg virus,Orthomarburgvirus marburgense,Marburg virus disease,specific_unit,Orthomarburgvirus marburgense,Marburg virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Coronaviridae,High,Subgenus Merbecovirus,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),broad_subgenus,Subgenus Merbecovirus,Middle East Respiratory Syndrome Coronavirus,subgenus,drop_broad_placeholder,broad_taxon_replaced_by_candidate_units,host_linked_non_vector,broad_placeholder,review,review,review,,Broad placeholder row retained for provenance only; use narrower candidate rows below.,Do not use this broad placeholder as the final modelling or host/vector/amplifier unit.
split_candidate,Coronaviridae,High,Subgenus Merbecovirus,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),broad_subgenus,MERS-like bat merbecoviruses,MERS-like bat merbecoviruses,species_group,keep,host_link_and_zoonotic_potential_group,host_linked_non_vector,zoonotic_potential,yes,no,unknown,HKU4; HKU5; PDF-2180; BtVs-BetaCoV/SC2013; NeoCoV,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.
split_candidate,Coronaviridae,High,Subgenus Merbecovirus,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),broad_subgenus,Middle East respiratory syndrome-related coronavirus (MERS-CoV),MERS-CoV,species,keep,clear_human_infection_and_host_link,host_linked_non_vector,yes,yes,no,yes,,Clear human-pathogenic merbecovirus with established host and amplifier relevance.,Retained as a distinct analysis unit rather than folded into the broader merbecovirus placeholder.
source_row,Poxviridae,High,Orthopoxvirus monkeypox,Monkeypox virus,Orthopoxvirus monkeypox,Mpox (Monkeypox),specific_unit,Orthopoxvirus monkeypox,Monkeypox virus,species_or_equivalent,keep,specific_source_row,mixed_or_context_dependent,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Paramyxoviridae,High,Henipavirus nipahense,Nipah virus,Henipavirus nipahense,Nipah virus disease,specific_unit,Henipavirus nipahense,Nipah virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Bacteria,High,Salmonella enterica non typhoidal serovars,,,Non-typhoidal salmonellosis,broad_serovar_group,Salmonella enterica non typhoidal serovars,Salmonella enterica non typhoidal serovars,serovar_group,review_split_needed,broad_serovar_group,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Broad serovar group kept for now but flagged as too coarse for final ecological analysis.,
source_row,Peribunyaviridae,Low,Orthobunyavirus oropoucheense,Oropouche virus,Orthobunyavirus oropoucheense,Oropouche fever,specific_unit,Orthobunyavirus oropoucheense,Oropouche virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Bacteria,High,Yersinia pestis,,,Plague,specific_unit,Yersinia pestis,Yersinia pestis,species_or_equivalent,keep,specific_source_row,mixed_or_context_dependent,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Spinareoviridae,Low,Orthoreovirus mammalis,Mammalian orthoreovirus,Orthoreovirus mammalis,Reovirus infection (usually mild),broad_species_group,Orthoreovirus mammalis,Mammalian orthoreovirus,species_group,review_split_needed,mixed_species_group,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Broad mixed-unit row kept for now but flagged as too coarse for final ecological analysis.,
source_row,Phenuiviridae,High,Phlebovirus riftense,Rift Valley Fever virus,Phlebovirus riftense,Rift Valley fever,specific_unit,Phlebovirus riftense,Rift Valley Fever virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Coronaviridae,High,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,broad_subgenus,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome coronavirus,subgenus,drop_broad_placeholder,broad_taxon_replaced_by_candidate_units,host_linked_non_vector,broad_placeholder,review,review,review,,Broad placeholder row retained for provenance only; use narrower candidate rows below.,Do not use this broad placeholder as the final modelling or host/vector/amplifier unit.
split_candidate,Coronaviridae,High,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,broad_subgenus,SARS-like bat sarbecoviruses,SARS-like bat sarbecoviruses,species_group,keep,host_link_and_zoonotic_potential_group,host_linked_non_vector,zoonotic_potential,yes,no,unknown,RaTG13; RmYN02; WIV1; SHC014; Rs3367; RsSHC014; Rs4028; BtKY72; PDF-2370,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.
split_candidate,Coronaviridae,High,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,broad_subgenus,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),SARS-CoV-2,species,keep,clear_human_infection_and_host_link,host_linked_non_vector,yes,yes,no,unknown,,Clear human-pathogenic sarbecovirus with substantial host-link evidence.,Retained as a distinct analysis unit rather than folded into the broader sarbecovirus placeholder.
split_candidate,Coronaviridae,High,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,broad_subgenus,Severe acute respiratory syndrome-related coronavirus (SARS-CoV-1),SARS-CoV-1,species,keep,clear_human_infection_and_host_link,host_linked_non_vector,yes,yes,no,unknown,,Clear human-pathogenic sarbecovirus with well-established host-link relevance.,Retained as a distinct analysis unit rather than folded into the broader sarbecovirus placeholder.
source_row,Phenuiviridae,High,Bandavirus dabieense,SFTS virus,Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),specific_unit,Bandavirus dabieense,SFTS virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Filoviridae,High,Orthoebolavirus sudanense,Sudan ebolavirus,Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),specific_unit,Orthoebolavirus sudanense,Sudan ebolavirus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Flaviviridae,High,Orthoflavivirus encephalitidis,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis,Tick-borne encephalitis,specific_unit,Orthoflavivirus encephalitidis,Tick-borne encephalitis virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Togaviridae,High,Alphavirus venezuelan,Venezuelan equine encephalitis virus,Alphavirus venezuelan,Venezuelan equine encephalitis,specific_unit,Alphavirus venezuelan,Venezuelan equine encephalitis virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Rhabdoviridae,Low,Genus Vesiculovirus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,broad_genus,Genus Vesiculovirus,Genus Vesiculovirus,genus,drop_broad_placeholder,broad_taxon_replaced_by_candidate_units,vector_associated_or_mixed,broad_placeholder,review,yes_or_expected,review,,Broad placeholder row retained for provenance only; use narrower candidate rows below.,Do not use this broad placeholder as the final modelling or host/vector/amplifier unit.
split_candidate,Rhabdoviridae,Low,Genus Vesiculovirus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,broad_genus,Vesicular stomatitis Indiana virus,VSIV,species,keep,clear_human_infection_and_vector_data,vector_associated_or_mixed,yes,yes,yes,yes,,"Clear zoonotic vesiculovirus with host, vector, and amplifier relevance.",Retained as a distinct analysis unit rather than folded into the broader vesiculovirus placeholder.
split_candidate,Rhabdoviridae,Low,Genus Vesiculovirus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,broad_genus,Vesicular stomatitis New Jersey virus,VSNJV,species,keep,clear_human_infection_and_vector_data,vector_associated_or_mixed,yes,yes,yes,yes,,"Clear zoonotic vesiculovirus with host, vector, and amplifier relevance.",Retained as a distinct analysis unit rather than folded into the broader vesiculovirus placeholder.
split_candidate,Rhabdoviridae,Low,Genus Vesiculovirus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,broad_genus,Cocal virus,Cocal virus,species,drop_not_prioritized,supporting_example_only_for_current_vesiculovirus_scope,vector_associated_or_mixed,limited_or_unclear,yes,partial_or_unknown,unknown,,Not retained as an active analytic unit in the current vesiculovirus scope; track as a supporting example only.,Do not split further into a standalone active unit for now.
split_candidate,Rhabdoviridae,Low,Genus Vesiculovirus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,broad_genus,Maraba virus,Maraba virus,species,drop_not_prioritized,supporting_example_only_for_current_vesiculovirus_scope,vector_associated_or_mixed,documented_but_limited,partial_or_unknown,partial_or_unknown,unknown,,Not retained as an active analytic unit in the current vesiculovirus scope; track as a supporting example only.,Do not split further into a standalone active unit for now.
split_candidate,Rhabdoviridae,Low,Genus Vesiculovirus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,broad_genus,Vesicular stomatitis Alagoas virus,VSAV,species,drop_not_prioritized,supporting_example_only_for_current_vesiculovirus_scope,vector_associated_or_mixed,limited_or_unclear,yes,yes,yes,,Not retained as an active analytic unit in the current vesiculovirus scope; track as a supporting example only.,Do not split further into a standalone active unit for now.
source_row,Flaviviridae,High,Orthoflavivirus nilense,West Nile virus,Orthoflavivirus nilense,West Nile fever,specific_unit,Orthoflavivirus nilense,West Nile virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Flaviviridae,High,Orthoflavivirus flavi,Yellow fever virus,Orthoflavivirus flavi,Yellow fever,specific_unit,Orthoflavivirus flavi,Yellow fever virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Flaviviridae,High,Orthoflavivirus zikaense,Zika virus,Orthoflavivirus zikaense,Zika virus disease,specific_unit,Orthoflavivirus zikaense,Zika virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
